iter	RMSE
0	62224405.55
1	61306120.33
2	60376671.09
3	59295626.61
4	58266519.75
5	57238517.79
6	56287615.99
7	55445995.74
8	54673608.87
9	53937381.6
10	53125650.95
11	52354879.19
12	51569796.96
13	50916140.88
14	50090578.68
15	49425530.85
16	48725217.13
17	48139553.02
18	47470679.95
19	46793768.54
20	46203374.02
21	45629099.35
22	45058710.81
23	44433071.64
24	43923334.35
25	43395124.28
26	42897420.48
27	42492925.72
28	42026697.96
29	41607264.97
30	41088775.64
31	40740243.94
32	40273841.6
33	39773015.5
34	39308878.62
35	38965899.24
36	38579753.18
37	38212175.89
38	37930275.03
39	37500325.71
40	37040625.49
41	36733742.26
42	36449032.16
43	36120672.03
44	35770692.79
45	35467399.91
46	35138424.99
47	34874818.29
48	34579688.39
49	34288128.84
50	34037377.41
51	33807785.4
52	33553237.62
53	33259861.89
54	33017144.1
55	32715696.15
56	32403778.51
57	32160125.69
58	31895017.81
59	31717628.85
60	31508262.56
61	31262629.98
62	31091849.81
63	30871564.36
64	30668008.07
65	30475983.09
66	30203725.21
67	29990917.02
68	29778543.11
69	29570387.2
70	29371340.53
71	29085525.49
72	28899088.38
73	28658779.49
74	28444001.93
75	28332384.48
76	28202474.31
77	28093810.9
78	27957532.33
79	27887090.87
80	27736476.61
81	27584553.8
82	27495413.1
83	27335952.95
84	27286635.07
85	27188721.6
86	27066687.82
87	26826858.9
88	26595569.58
89	26470798.6
90	26420583.18
91	26314812.02
92	26253011.04
93	26166479.75
94	25988266.6
95	25943346.1
96	25899114.83
97	25841620.83
98	25787523.79
99	25648000.81
100	25524059.91
101	25480043.16
102	25400523.28
103	25302329.92
104	25197711.62
105	25127400.19
106	25022841.71
107	24976885.71
108	24917619.43
109	24830104.97
110	24760221.94
111	24687733.48
112	24597631.46
113	24560748.75
114	24398331.32
115	24362198.22
116	24290791.66
117	24250337.49
118	24130794.8
119	24088810.7
120	24012291.31
121	23943874.62
122	23788251.9
123	23713364.21
124	23614833.47
125	23578792.46
126	23467059.54
127	23344955.06
128	23311631.69
129	23243963.14
130	23213248.05
131	23145556.42
132	23055641.22
133	23025543.85
134	22835577.16
135	22746791.48
136	22704546.83
137	22617572.85
138	22551036.72
139	22434791.38
140	22398475.92
141	22301778.52
142	22271351.32
143	22217480.37
144	22190860.08
145	22135215.07
146	22109047.52
147	22080030.4
148	22054335.64
149	21958861.41
150	21933993.46
151	21907151.28
152	21878266.09
153	21813298.44
154	21760866.35
155	21732145.94
156	21656971.9
157	21592518.38
158	21561391.39
159	21536716.49
160	21514138.56
161	21491880.64
162	21469762.27
163	21448131.62
164	21425872.08
165	21264588.72
166	21222403.28
167	21198261.85
168	21177618.82
169	21130760.46
170	21108452.67
171	21045373.97
172	21016347.18
173	20993679.19
174	20945430.34
175	20823073.02
176	20666162.99
177	20633478.05
178	20615190.67
179	20595173.27
180	20570502.7
181	20552978.79
182	20453428.94
183	20371705.73
184	20353151.06
185	20327482.83
186	20310369.28
187	20256859.38
188	20227851.92
189	20205095.81
190	20187915.36
191	20169777.4
192	20154638.96
193	20139720.31
194	20125018.33
195	20108798.01
196	20092392.03
197	19974696.1
198	19960745.78
199	19934023.81
200	19918753.35
201	19889540.07
202	19873800.85
203	19783918.41
204	19695043.39
205	19682259.02
206	19664567.51
207	19565715.17
208	19549879.49
209	19531151.12
210	19439665.48
211	19427828.15
212	19331544.31
213	19255949.12
214	19241306.99
215	19226488.5
216	19191206.25
217	19105264.69
218	19015845.06
219	19000467.55
220	18989103.24
221	18904818.57
222	18893202.5
223	18751883.04
224	18740426.23
225	18730430.77
226	18719658.76
227	18643382.03
228	18626495.64
229	18617027.73
230	18584358.15
231	18493382.45
232	18399140.69
233	18353348.74
234	18342107.65
235	18331839.38
236	18317977.85
237	18307085.5
238	18245186.38
239	18228791.61
240	18220566.97
241	18202842.33
242	18168619.96
243	18092397.92
244	18083556.56
245	18012041.46
246	18003683.36
247	17978408.2
248	17919219.69
249	17893946.4
250	17869746.47
251	17767882.9
252	17760115.72
253	17752253.05
254	17744516.13
255	17639547.03
256	17607288.91
257	17593829.06
258	17581022.41
259	17563154.15
260	17493933.89
261	17369439.9
262	17319849.97
263	17296262.77
264	17289502.94
265	17278033.32
266	17241624.85
267	17230355.16
268	17165013.67
269	17123473.18
270	17060008.96
271	17033977.24
272	17023084.41
273	17007768.31
274	16999009.86
275	16934290.28
276	16895045.37
277	16881376.37
278	16860798.62
279	16839657.56
280	16801656.46
281	16760265.42
282	16718404.98
283	16707766.92
284	16700545.21
285	16650688.79
286	16550086.19
287	16528184.67
288	16518369.9
289	16481210.1
290	16436820.24
291	16400769.06
292	16371607.07
293	16323417.86
294	16314519.02
295	16292622.06
296	16264434.88
297	16220354.67
298	16168686.6
299	16122431.15
