iter	Passed	Remaining
0	47	47286
1	48	24113
2	49	16287
3	49	12352
4	49	9921
5	50	8301
6	50	7221
7	51	6352
8	51	5711
9	52	5199
10	52	4748
11	53	4395
12	54	4099
13	54	3844
14	55	3621
15	55	3413
16	55	3223
17	56	3059
18	56	2917
19	56	2792
20	57	2664
21	57	2555
22	58	2469
23	58	2376
24	59	2301
25	59	2234
26	60	2171
27	60	2112
28	61	2059
29	62	2008
30	62	1959
31	62	1902
32	63	1859
33	64	1821
34	64	1785
35	64	1739
36	65	1703
37	66	1671
38	66	1642
39	67	1614
40	68	1591
41	68	1566
42	69	1543
43	69	1517
44	70	1495
45	71	1474
46	71	1452
47	72	1431
48	72	1411
49	73	1392
50	74	1388
51	74	1363
52	75	1349
53	76	1340
54	77	1323
55	77	1307
56	78	1293
57	78	1279
58	79	1265
59	79	1253
60	80	1240
61	81	1229
62	81	1211
63	81	1194
64	82	1190
65	83	1181
66	84	1170
67	84	1156
68	85	1147
69	85	1138
70	86	1129
71	86	1120
72	87	1111
73	88	1103
74	88	1095
75	89	1083
76	89	1070
77	89	1061
78	90	1051
79	90	1042
80	91	1034
81	91	1026
82	91	1014
83	92	1008
84	92	998
85	93	989
86	93	983
87	94	977
88	94	972
89	95	963
90	95	953
91	95	947
92	96	937
93	96	929
94	97	924
95	97	915
96	97	906
97	97	900
98	98	893
99	98	890
100	99	885
101	99	877
102	100	872
103	100	870
104	101	862
105	101	858
106	102	854
107	102	848
108	103	845
109	104	841
110	104	836
111	105	832
112	105	831
113	106	824
114	106	820
115	106	813
116	107	809
117	107	803
118	108	800
119	108	798
120	109	794
121	109	789
122	110	787
123	111	784
124	111	781
125	111	776
126	112	773
127	113	769
128	113	766
129	114	763
130	114	758
131	114	755
132	115	753
133	115	748
134	116	746
135	117	743
136	117	738
137	118	737
138	118	733
139	119	731
140	119	729
141	120	726
142	120	722
143	120	717
144	120	712
145	121	710
146	121	705
147	121	702
148	122	697
149	122	695
150	123	695
151	124	691
152	124	688
153	125	687
154	125	684
155	126	682
156	127	683
157	128	686
158	131	692
159	131	689
160	131	684
161	131	680
162	131	676
163	131	672
164	132	669
165	133	668
166	133	667
167	134	666
168	134	662
169	135	661
170	135	658
171	136	656
172	136	654
173	137	652
174	137	650
175	138	648
176	139	647
177	139	645
178	139	641
179	140	638
180	140	635
181	140	631
182	141	629
183	141	628
184	141	625
185	142	623
186	142	620
187	143	618
188	143	616
189	144	615
190	144	611
191	144	608
192	144	605
193	144	602
194	145	599
195	145	596
196	145	593
197	146	591
198	146	588
199	146	587
200	147	584
201	147	583
202	147	580
203	148	579
204	149	578
205	149	575
206	149	573
207	150	572
208	150	570
209	151	568
210	151	567
211	152	565
212	152	563
213	153	563
214	154	562
215	154	560
216	155	559
217	155	558
218	156	557
219	156	555
220	156	553
221	157	551
222	157	549
223	158	548
224	158	545
225	158	543
226	158	540
227	159	539
228	159	537
229	159	535
230	160	534
231	160	532
232	161	531
233	162	530
234	162	528
235	162	526
236	162	524
237	163	523
238	164	522
239	164	521
240	164	518
241	165	517
242	165	516
243	166	515
244	166	513
245	167	512
246	167	510
247	167	509
248	168	508
249	169	507
250	169	506
251	170	505
252	170	503
253	171	502
254	171	500
255	171	499
256	172	498
257	172	497
258	173	496
259	174	495
260	174	494
261	175	494
262	175	492
263	176	493
264	177	491
265	177	490
266	178	489
267	178	488
268	179	487
269	180	486
270	180	485
271	181	484
272	181	483
273	182	482
274	182	481
275	183	480
276	183	479
277	184	479
278	185	478
279	185	477
280	186	476
281	186	475
282	187	474
283	187	473
284	188	472
285	188	471
286	189	470
287	190	469
288	190	469
289	191	468
290	192	467
291	192	467
292	193	465
293	193	465
294	194	463
295	194	463
296	195	462
297	195	461
298	196	460
299	196	459
300	197	458
301	198	457
302	198	457
303	199	456
304	199	455
305	200	454
306	200	453
307	201	452
308	201	451
309	202	450
310	203	450
311	203	449
312	204	448
313	204	447
314	205	446
315	205	445
316	206	444
317	206	443
318	207	442
319	208	442
320	208	441
321	209	440
322	209	439
323	210	438
324	210	437
325	211	436
326	211	436
327	212	435
328	212	434
329	213	433
330	213	432
331	214	431
332	215	430
333	215	429
334	216	429
335	216	428
336	217	427
337	217	426
338	218	425
339	218	424
340	219	424
341	220	423
342	220	422
343	221	421
344	221	420
345	222	420
346	222	419
347	223	418
348	223	417
349	224	416
350	224	416
351	225	415
352	226	414
353	226	413
354	227	412
355	227	412
356	228	411
357	229	410
358	229	409
359	230	409
360	231	409
361	231	408
362	232	407
363	232	407
364	233	407
365	235	407
366	235	406
367	236	406
368	237	406
369	238	406
370	239	406
371	240	405
372	241	405
373	241	404
374	242	404
375	243	403
376	243	403
377	244	402
378	245	401
379	245	400
380	246	400
381	246	399
382	247	398
383	247	397
384	248	396
385	248	395
386	249	395
387	250	394
388	250	393
389	251	392
390	251	392
391	252	391
392	252	390
393	253	389
394	253	388
395	254	388
396	254	387
397	255	386
398	256	386
399	257	385
400	257	385
401	258	384
402	258	383
403	259	382
404	259	381
405	260	380
406	260	380
407	261	379
408	262	378
409	262	377
410	263	377
411	263	376
412	264	376
413	265	375
414	265	374
415	266	373
416	267	373
417	267	372
418	268	371
419	268	371
420	269	370
421	270	369
422	270	369
423	271	368
424	271	367
425	272	366
426	272	366
427	273	365
428	273	364
429	274	363
430	275	363
431	275	362
432	276	361
433	276	361
434	277	360
435	278	359
436	278	358
437	279	358
438	279	357
439	280	356
440	280	355
441	281	355
442	281	354
443	282	353
444	282	352
445	283	352
446	284	351
